Price,Close,High,Low,Open,Volume
Ticker,BTCB-USD,BTCB-USD,BTCB-USD,BTCB-USD,BTCB-USD
Datetime,,,,,
2025-05-21 21:00:00+00:00,108471.1875,108471.1875,108227.5,108227.5,0
2025-05-21 22:00:00+00:00,108804.1875,108804.1875,108433.171875,108433.5,0
2025-05-21 23:00:00+00:00,109643.3203125,110138.28125,108813.3359375,108813.3359375,3958008
2025-05-22 00:00:00+00:00,109659.59375,109913.1875,109550.78125,109651.4921875,993960
2025-05-22 01:00:00+00:00,109874.0859375,110114.625,109797.390625,109797.390625,1944776
2025-05-22 02:00:00+00:00,110578.9375,110583.6484375,109860.4453125,109860.4453125,1746760
2025-05-22 03:00:00+00:00,111788.0390625,111788.0390625,110430.890625,110430.890625,2491784
2025-05-22 04:00:00+00:00,111471.953125,111751.640625,111471.8359375,111751.640625,0
2025-05-22 05:00:00+00:00,111356.2890625,111471.9453125,111356.2890625,111460.7890625,0
2025-05-22 06:00:00+00:00,110732.7890625,111180.5546875,110732.7890625,111123.734375,1224616
2025-05-22 07:00:00+00:00,110933.9765625,110933.9765625,110669.671875,110728.953125,0
2025-05-22 08:00:00+00:00,110485.1640625,110946.359375,110478.8203125,110946.359375,901840
2025-05-22 09:00:00+00:00,110624.1015625,110624.1015625,110387.125,110447.921875,1329440
2025-05-22 10:00:00+00:00,110719.3203125,110749.0859375,110689.25,110701.8046875,876504
2025-05-22 11:00:00+00:00,110912.484375,110912.484375,110605.5859375,110735.34375,1514480
2025-05-22 12:00:00+00:00,111433.1640625,111433.1640625,110878.84375,110888.890625,1191296
2025-05-22 13:00:00+00:00,111229.9609375,111461.453125,111229.9609375,111461.453125,2414888
2025-05-22 14:00:00+00:00,110718.859375,111042.421875,110718.859375,111042.421875,1715680
2025-05-22 15:00:00+00:00,111330.0703125,111353.65625,110786.6171875,110786.6171875,0
2025-05-22 16:00:00+00:00,111302.828125,111443.5078125,111252.296875,111301.375,0
2025-05-22 17:00:00+00:00,111538.7265625,111668.5390625,111280.515625,111280.515625,0
2025-05-22 18:00:00+00:00,111639.46875,111679.1484375,111535.8046875,111551.234375,0
2025-05-22 19:00:00+00:00,111186.1171875,111759.9375,111186.1171875,111690.15625,0
2025-05-22 20:00:00+00:00,111065.078125,111259.8984375,111054.25,111201.84375,0
2025-05-22 21:00:00+00:00,110908.96875,111018.25,110905.2734375,111018.25,109088
2025-05-22 22:00:00+00:00,111067.6015625,111103.921875,110929.140625,110929.140625,0
2025-05-22 23:00:00+00:00,111377.734375,111377.734375,111061.8203125,111061.8203125,0
2025-05-23 00:00:00+00:00,111526.921875,111526.921875,111403.578125,111427.2265625,0
2025-05-23 01:00:00+00:00,111345.140625,111534.140625,111309.3671875,111534.140625,0
2025-05-23 02:00:00+00:00,111339.03125,111521.2265625,111339.03125,111349.046875,0
2025-05-23 03:00:00+00:00,111217.421875,111328.6015625,111185.046875,111328.6015625,0
2025-05-23 04:00:00+00:00,110720.953125,111169.1640625,110656.2734375,111169.1640625,0
2025-05-23 05:00:00+00:00,110779.875,110819.9453125,110732.75,110771.421875,0
2025-05-23 06:00:00+00:00,110470.1953125,110838.25,110470.1953125,110801.125,0
2025-05-23 07:00:00+00:00,110716.921875,110723.1875,110479.8203125,110479.8203125,0
2025-05-23 08:00:00+00:00,110819.046875,110819.046875,110693.3359375,110703.4375,0
2025-05-23 09:00:00+00:00,111146.4921875,111146.4921875,110828.28125,110828.28125,0
2025-05-23 10:00:00+00:00,111059.5078125,111160.9921875,110957.953125,111160.9921875,0
2025-05-23 11:00:00+00:00,109645.2421875,111058.140625,109645.2421875,111058.140625,2589352
2025-05-23 12:00:00+00:00,108508.0703125,109055.6015625,107744.734375,109055.6015625,8389448
2025-05-23 13:00:00+00:00,109199.8046875,109199.8046875,108303.1796875,108393.953125,1134700
2025-05-23 14:00:00+00:00,109796.1796875,109803.6484375,109339.90625,109339.90625,0
2025-05-23 15:00:00+00:00,109282.8984375,109817.9140625,109282.8984375,109817.9140625,14448
2025-05-23 16:00:00+00:00,108782.0078125,109300.515625,108630.15625,109300.515625,1360872
2025-05-23 17:00:00+00:00,109540.1484375,109617.484375,108932.40625,108932.40625,110148
2025-05-23 18:00:00+00:00,108977.7421875,109522.4453125,108977.7421875,109522.4453125,276160
2025-05-23 19:00:00+00:00,108933.7734375,109045.53125,108913.4296875,108967.84375,0
2025-05-23 20:00:00+00:00,108521.6171875,108888.8046875,108521.6171875,108888.8046875,1118960
2025-05-23 21:00:00+00:00,108520.890625,108560.03125,108430.203125,108488.2265625,0
2025-05-23 22:00:00+00:00,108030.828125,108559.0859375,108030.828125,108559.0859375,832076
2025-05-23 23:00:00+00:00,107166.9140625,108034.4375,107164.265625,108034.4375,2255380
2025-05-24 00:00:00+00:00,107416.0546875,107430.359375,107080.4140625,107154.8671875,235696
2025-05-24 01:00:00+00:00,107648.5625,107665.3359375,107399.6171875,107399.6171875,0
2025-05-24 02:00:00+00:00,107753.2265625,107753.2265625,107512.90625,107512.90625,0
2025-05-24 03:00:00+00:00,108195.984375,108195.984375,107755.9296875,107755.9296875,0
2025-05-24 04:00:00+00:00,108445.1328125,108445.1328125,108207.1796875,108207.1796875,0
2025-05-24 05:00:00+00:00,108306.0859375,108459.734375,108299.890625,108459.734375,833008
2025-05-24 06:00:00+00:00,108009.8984375,108311.8828125,108008.9375,108304.9921875,0
2025-05-24 07:00:00+00:00,107959.1953125,108167.890625,107959.1953125,108046.6640625,228912
2025-05-24 08:00:00+00:00,107991.890625,107991.890625,107803.7578125,107803.7578125,0
2025-05-24 09:00:00+00:00,108146.203125,108156.0078125,108019.5390625,108019.5390625,0
2025-05-24 10:00:00+00:00,108982.9140625,108982.9140625,108100.921875,108119.9375,441384
